Trek_Name,District,Difficulty,Height_m,Best_Season,Historical_Significance,Description,Latitude,Longitude
"Sandakphu Phalut","Darjeeling","Moderate",3636,"Oct-Apr","Indo-Nepal border trail","View of 4 highest peaks",27.100,88.020
"Dayara Bugyal","Uttarkashi","Easy",3639,"May-Oct,Dec-Feb","Shepherd grazing land","Beautiful alpine meadows",31.290,78.530
"Brahmatal","Chamoli","Moderate",3735,"Dec-Mar","Linked to Lord Brahma","Winter trek with frozen lakes",30.300,79.730
"Ali Bedni Bugyal","Chamoli","Moderate",3354,"May-Jun,Sep-Oct","Ancient pilgrimage route","Expansive meadows trek",30.260,79.730
"Rupin Pass","Uttarkashi","Hard",4650,"May-Jun,Sep-Oct","Historic trade route","Diverse terrain crossover trek",31.030,78.080
"Buran Ghati","Shimla","Moderate-Hard",4575,"May-Jun,Sep-Oct","Old Himachali trail","Snow walls and rappelling section",31.170,77.830
"Chandrakhani Pass","Kullu","Moderate",3660,"May-Oct","Local deity route","Panoramic views of Kullu valley",32.050,77.260
"Kugti Pass","Chamba","Hard",5050,"Jun-Sep","Ancient tribal route","Remote and challenging trek",32.400,76.800
"Spiti to Pin Valley","Lahaul-Spiti","Hard",5300,"Jul-Sep","Trade link route","Cold desert trekking experience",31.900,78.000
"Kanamo Peak","Spiti","Hard",5974,"Jul-Sep","High-altitude expedition","Non-technical summit climb",32.100,78.100
"Parang La","Spiti","Hard",5580,"Jul-Sep","Ancient trade route","Tso Moriri crossover trek",32.800,78.800
"Gidara Bugyal","Uttarkashi","Moderate",4200,"May-Jun,Sep-Oct","Shepherd route","High-altitude meadows trek",31.200,78.500
"Dodital","Uttarkashi","Easy",3310,"Mar-Jun,Sep-Dec","Linked to Lord Ganesha","Lake trek in forest",30.870,78.500
"Kuari Pass","Chamoli","Moderate",4264,"Apr-Jun,Sep-Nov","Lord Curzon trail","Panoramic Himalayan views",30.450,79.600
"Pindari Glacier","Bageshwar","Moderate",3820,"Apr-Jun,Sep-Oct","Historic glacier exploration","Classic glacier trek",30.230,79.900
"Kafni Glacier","Bageshwar","Moderate",3850,"Apr-Jun,Sep-Oct","Remote glacier trek","Less crowded alternative",30.200,79.850
"Sunderdhunga Valley","Bageshwar","Moderate-Hard",3900,"Apr-Jun,Sep-Oct","Valley of beautiful stones","Hidden valley trek",30.200,79.900
"Chopta Chandrashila","Rudraprayag","Easy",4000,"Year-round","Temple pilgrimage route","Short trek to Tungnath temple",30.480,79.220
"Tungnath Trek","Rudraprayag","Easy",3680,"Year-round","Highest Shiva temple","Spiritual trek",30.490,79.220
"Satopanth Lake","Chamoli","Hard",4600,"May-Jun,Sep-Oct","Mythological lake","High-altitude sacred trek",30.720,79.300
"Kalindi Khal","Uttarkashi","Extreme",5950,"Jun-Sep","Ancient glacier route","Technical expedition trek",30.850,79.600
"Pangarchulla Peak","Chamoli","Hard",4575,"Apr-Jun","Training peak","Summit climb with steep ascent",30.450,79.600
"Audens Col","Uttarkashi","Extreme",5490,"Jun-Sep","Historic expedition route","One of toughest Indian treks",30.900,79.500
Trek_Name,District,Difficulty,Height_m,Best_Season,Historical_Significance,Description,Latitude,Longitude
"Gurez Valley Trek","Bandipora","Moderate",3600,"Jun-Sep","Ancient Silk Route region","Remote valley trek near LOC with scenic landscapes",34.650,74.800
"Dzongri Trek","West Sikkim","Moderate",4020,"Apr-Jun,Sep-Nov","Kanchenjunga trail base","Short high-altitude trek with panoramic views",27.340,88.200
"Singalila Ridge Trek","Darjeeling","Moderate",3636,"Oct-Apr","Indo-Nepal ridge route","Ridge walk with Everest views",27.150,88.050
"Baradsar Lake Trek","Mandi","Moderate",4300,"Jun-Sep","Sacred lake pilgrimage","Remote alpine lake trek",31.600,77.300
"Bhaba Pass Trek","Kinnaur","Hard",4865,"Jun-Sep","Shepherd migration route","Green Kinnaur to barren Spiti crossover",31.800,78.100
"Miyar Valley Trek","Lahaul","Moderate",4000,"Jun-Sep","Ancient trade valley","Valley of flowers of Himachal",32.800,76.900
"Patalsu Peak","Kullu","Moderate",4220,"May-Oct","Local deity significance","Summit trek near Manali",32.280,77.180
"Seven Sisters Trek","Uttarkashi","Moderate",4100,"May-Jun,Sep-Oct","Shepherd trail","Series of alpine lakes trek",31.200,78.600
"Lamkhaga Pass","Kinnaur","Hard",5282,"Jun-Sep","Ancient Indo-Tibetan trade route","High-altitude crossover trek",31.600,78.400
"Charang Valley Trek","Kinnaur","Hard",5240,"Jun-Sep","Historic monastery trail","Remote valley and pass trek",31.700,78.500
"Borasu Pass Trek","Uttarkashi","Hard",5450,"Jun-Sep","Ancient trade route","Technical high-altitude trek",31.300,78.700
"Bali Pass Trek","Uttarkashi","Hard",4950,"May-Jun,Sep-Oct","Mythological route","Challenging trek near Yamunotri",31.050,78.500
"Kyarkoti Trek","Uttarkashi","Moderate",3850,"May-Jun,Sep-Oct","Remote Himalayan valley","Glacier views and meadows",31.150,78.550
"Harsil Valley Trek","Uttarkashi","Easy",2620,"Year-round","Historic trade village","Scenic forest and river trek",31.040,78.730
"Chopta Valley Trek","Rudraprayag","Easy",3000,"Year-round","Pilgrimage region","Short trek in mini Switzerland of India",30.480,79.220
"Surya Top Trek","Uttarkashi","Moderate",4020,"May-Jun,Sep-Oct","Linked to Dayara Bugyal","High-altitude meadow summit",31.300,78.550
"Panwali Kantha","Tehri","Moderate",3368,"Apr-Jun,Sep-Oct","Ancient trail","Ridge trek with Garhwal views",30.500,78.500
"Dhumdhar Kandi Pass","Uttarkashi","Hard",5600,"Jun-Sep","Glacier exploration route","Technical glacier trek",31.200,78.800
"Chanshal Pass Trek","Shimla","Moderate",4520,"May-Oct","Ancient Himachali route","High motorable pass trek",31.300,77.900
"Shali Tibba Trek","Shimla","Easy",2870,"Year-round","Temple at summit","Short forest trek",31.100,77.300
"Hatu Peak Trek","Shimla","Easy",3400,"Year-round","Temple significance","Panoramic peak near Narkanda",31.270,77.450
"Kamru Fort Trek","Kinnaur","Easy",2900,"Apr-Oct","Historic fort","Cultural trek in Sangla Valley",31.400,78.250
"Sangla Kanda Trek","Kinnaur","Moderate",3800,"May-Oct","Shepherd trail","Meadows above Sangla Valley",31.450,78.300
"Rakcham Trek","Kinnaur","Easy",3050,"Apr-Oct","Village exploration","Short scenic valley trek",31.550,78.350
"Nako Lake Trek","Kinnaur","Easy",3660,"May-Oct","Buddhist significance","Lake trek in Spiti region",31.900,78.600
"Dhankar Lake Trek","Spiti","Moderate",4270,"May-Oct","Monastery trail","Cliff-top lake trek",32.100,78.200
"Langza Trek","Spiti","Easy",4400,"May-Oct","Fossil village","Short cultural trek",32.200,78.100
"Komic Trek","Spiti","Easy",4580,"May-Oct","Highest village trail","High-altitude village trek",32.210,78.150
"Hikkim Trek","Spiti","Easy",4440,"May-Oct","World’s highest post office","Village exploration trek",32.220,78.120
"Pin Valley Trek","Spiti","Moderate",4200,"Jun-Sep","National park region","Cold desert valley trek",31.900,78.000
"Zanskar Valley Trek","Zanskar","Hard",4800,"Jun-Sep","Ancient trade route","Remote Himalayan valley trek",33.500,76.800
"Darcha Padum Trek","Lahaul","Hard",5000,"Jul-Sep","Historic trade route","Long-distance trek",32.700,76.900
"Padum to Lamayuru","Zanskar","Hard",5200,"Jul-Sep","Monastery trail","Cultural trek through Zanskar",33.700,76.800
"Phuktal Monastery Trek","Zanskar","Moderate",3900,"Jun-Sep","Ancient cave monastery","Unique monastery trek",33.300,76.900
"Nubra Valley Trek","Leh","Moderate",4000,"Jun-Sep","Silk Route region","Desert valley trek",34.600,77.500
"Tso Moriri Trek","Leh","Moderate",4520,"Jun-Sep","Sacred lake region","High-altitude lake trek",32.900,78.300
"Tso Kar Trek","Leh","Moderate",4600,"Jun-Sep","Salt lake region","Wetland and wildlife trek",33.300,78.000
"Chilling to Markha Trek","Leh","Moderate",5000,"Jun-Sep","Markha Valley route","River crossing trek",34.200,77.600
"Matho Valley Trek","Leh","Moderate",4500,"Jun-Sep","Monastery trail","Remote valley trek",34.100,77.700
"Shingo La Trek","Zanskar","Hard",5090,"Jul-Sep","Trade route","Pass connecting Zanskar and Lahaul",33.200,76.900
"Warwan Valley Trek","Anantnag","Moderate-Hard",4300,"Jun-Sep","Remote Kashmir valley","Hidden paradise trek",33.800,75.600
"Daksum Trek","Anantnag","Easy",2800,"May-Oct","Forest trail","Short scenic trek",33.700,75.300
"Bangus Valley Trek","Kupwara","Moderate",3300,"Jun-Sep","Untouched valley","Grassland and forest trek",34.400,74.100
"Lolab Valley Trek","Kupwara","Easy",2500,"May-Sep","Historic valley","Peaceful nature trek",34.300,74.200
"Aru Valley Trek","Anantnag","Easy",2800,"May-Oct","Tourist valley","Base for many treks",34.100,75.200
"Kolhoi Glacier Trek","Anantnag","Moderate",4700,"Jun-Sep","Largest glacier in Kashmir","Glacier trek",34.100,75.300
"Thajiwas Glacier Trek","Ganderbal","Easy",3000,"May-Sep","Tourist glacier","Short glacier trek",34.300,75.300
"Sonamarg Trek","Ganderbal","Easy",2800,"May-Oct","Meadow region","Scenic alpine trek",34.300,75.300
"Yusmarg Trek","Budgam","Easy",2400,"Apr-Oct","Meadow region","Short peaceful trek",33.800,74.700
