Trek_Name,District,Difficulty,Height_m,Best_Season,Historical_Significance,Description
"Dativare fort","Pune","Moderate",750,"Oct-Feb","A small Maratha fort in the Mulshi area used as a watchtower over surrounding valleys.","A quick moderate hike through green farmland to a hilltop with cisterns and ruined walls. The views of the Mulshi backwaters are serene and photogenic."
"Daulatabad Fort","Aurangabad","Moderate",450,"Oct-Mar","One of India's most impregnable forts; served as the capital when Muhammad bin Tughlaq shifted from Delhi.","A magnificent fortress with ingenious defense mechanisms including a dark passage and a moat with crocodiles. The climb to the cannon-topped summit offers panoramic Deccan views."
"Dermal Fort","Raigad","Hard",850,"Oct-Feb","A remote Maratha fort in the hills east of Pen used for strategic surveillance.","A tough climb through thick scrub and rocky outcrops to an isolated summit. The wilderness feel makes it ideal for experienced trekkers seeking solitude."
"Devgad fort","Sindhudurg","Easy",100,"Oct-Mar","A Maratha naval fort protecting Devgad harbor; strengthened by Shivaji Maharaj.","A coastal headland fort with sea on three sides and a lighthouse nearby. Easy to walk and perfect for combining with Devgad's famous Alphonso mango farms."
"Dhak bahiri","Raigad","Hard",760,"Oct-Feb","A cave fortress used by the Marathas to store ammunition and supplies in secret.","A thrilling climb involving chimney-like rock entrances and cave passages inside the mountain. One of the most unique and adventurous fort experiences in the Sahyadri."
"Dhawalgad Fort","Pune","Moderate",800,"Oct-Feb","A small Maratha fort near the Mulshi area used for regional defense and communication.","A moderate trek through rolling countryside to a fortified hilltop with partial ruins. Pleasant views of the surrounding Western Ghat foothills."
"Dhodap","Nashik","Very Hard",1451,"Oct-Feb","The second-highest fort in Maharashtra; part of the Maratha northern defense line against the Mughals.","A demanding climb with near-vertical rock faces requiring ropes and technical climbing skills. The massive flat summit plateau is one of the largest fort tops in the Sahyadri."
"Dhunda fort","Nashik","Hard",1100,"Oct-Feb","A remote Maratha fort near the Trimbak range used as a lookout over the Godavari basin.","A strenuous climb through dry rocky terrain with minimal shade and exposed sections. The panoramic summit views of the Nashik ranges are worth the effort."
"Dongri Fort","Raigad","Easy",200,"Oct-Mar","A minor Maratha fort used for coastal surveillance near the Alibag region.","A short climb to a low hilltop with remnants of walls and a few carved cisterns. Good for a quick heritage walk near the Alibag coast."
"Dronagiri Fort","Ahmednagar","Moderate",1080,"Oct-Feb","An ancient fort near Junnar with caves dating back to the Satavahana period.","A moderate climb with ancient Buddhist caves carved into the hillside along the trail. The summit offers views of the Kukdi River valley."
"Dubergad Fort","Raigad","Moderate",700,"Oct-Feb","A Maratha hill fort near Karjat used for controlling the Bor Ghat trade route.","A moderate hike through teak forest to a compact fortified summit. The views of the surrounding Konkan-Deccan transition zone are lovely."
"Durgabhandar","Raigad","Moderate",650,"Oct-Feb","A Maratha stronghold near Mangaon used as a regional military post.","A moderate uphill trek through farmland and forest to a plateau with old walls and tanks. The ridge walk approach is scenic and pleasant."
"Durgadi Fort","Thane","Easy",100,"Year-round","A small Maratha-era hilltop fort within Kalyan city with Hemadpanthi temple architecture.","A short staircase climb to a hilltop temple-fort offering views over bustling Kalyan city. Popular as a morning walk destination among locals."
"Fatte gad","Nashik","Moderate",900,"Oct-Feb","A Maratha frontier fort in the Nashik hills used for communication signaling.","A moderate rocky climb through sparse vegetation to a compact summit. The ancient walls and cisterns are partially intact."
"Fort George","Mumbai","Easy",10,"Year-round","Built by the British East India Company in the 18th century to protect Bombay harbor.","A colonial-era urban fort within the naval dockyard area with limited public access. Its cannons once guarded the approach to the city's strategic harbor."
"Gagangad","Satara","Moderate",980,"Oct-Feb","Part of the Satara fort chain; served as a secondary defense post under the Marathas.","A pleasant uphill trek through grassland and sparse forest to a modest summit. Remnants of walls and water tanks are scattered across the top."
"Galna","Nashik","Moderate",950,"Oct-Feb","A Yadava dynasty fort later held by the Mughals and finally won by the Marathas.","A moderate trek with an interesting tunnel entrance passage carved through rock. The large summit plateau has temples and multiple water cisterns."
"Gambhirgad","Pune","Moderate",850,"Oct-Feb","A small Maratha fort near Junnar used as part of the surveillance network.","A moderate climb through dry deciduous forest to a narrow ridge summit. Views of the Junnar region and Shivneri add historical context."
"Gawilghur","Amravati","Moderate",1050,"Oct-Feb","The site of a major British victory over the Marathas in 1803 during the Third Anglo-Maratha War.","A massive fort complex spread over two connected hills with spectacular valley views. The trek winds through ruined gateways and bastions with a dramatic hilltop setting."
"Ghangad","Pune","Moderate",950,"Oct-Feb","A Maratha hill fort near Tamhini that protected the route to Raigad from the Deccan.","A beautiful monsoon trek through lush greenery and rolling ghats to an exposed summit ridge. The views of surrounding valleys in the rains are absolutely magical."
"Ghargad","Nashik","Moderate",850,"Oct-Feb","A Maratha-era outpost fort near Sinnar used for regional border patrol.","A moderate climb through scrubland to a compact summit with cisterns and wall fragments. Quiet and rarely visited — ideal for those seeking unexplored forts."
"Ghodbunder Fort","Thane","Easy",50,"Year-round","A Portuguese-built fort on the banks of the Ulhas Creek captured by the Marathas in 1739.","A coastal heritage walk through a well-preserved Portuguese fort with bastions overlooking the creek. Easily accessible from Thane city."
"Ghosalegad Fort","Raigad","Moderate",700,"Oct-Feb","A Maratha fort near Mahad used for defending the approaches to Raigad capital.","A moderate hike through teak forests and laterite terrain to a summit plateau. The solitude and views of Raigad valley make it a hidden gem."
"Goa fort","Ratnagiri","Easy",250,"Oct-Mar","A minor Konkan fort used by the Marathas to guard the coastal trading routes.","A small fort with sea-facing bastions and a quick trail through tropical vegetation. Great for combining with a coastal drive."
"Gondhanapur Fort","Buldhana","Easy",500,"Oct-Mar","A Vidarbha-region fort with medieval origins; used by various Deccan sultanates.","A low fort with thick walls and old gateways set amidst the Buldhana plateau. Easy and flat to explore with interesting carved stonework."
"Gopalgad","Ratnagiri","Easy",200,"Oct-Mar","A Maratha coastal fort near Guhagar used to monitor sea traffic along the Konkan.","A relaxed climb on a small headland with views of the turquoise Konkan coastline. The fort has a few surviving bastions and old cannon placements."
"Gorakhgad","Raigad","Hard",1000,"Oct-Feb","A dramatic pinnacle fort used by the Marathas for defense and spiritual retreat.","A thrilling climb with rock patches and narrow ridges leading to a small temple atop the summit. The sheer drops on all sides provide an adrenaline-pumping experience."
"Gowalkot","Ratnagiri","Easy",50,"Oct-Mar","A sea fort near Chiplun built by the Marathas to protect the Vashishti River estuary.","A small coastal fort accessible during low tide with views of the river meeting the sea. Ideal for a quick heritage stop along the Konkan highway."
"Gumtara Fort","Raigad","Hard",900,"Oct-Feb","A remote Maratha fort in the dense forests between Matheran and Panvel.","A challenging trek through thick jungle with minimal trail markings and rocky sections. An ideal adventure for experienced trekkers seeking off-the-beaten-path exploration."
"Gunvantgad","Pune","Moderate",800,"Oct-Feb","A minor Maratha outpost fort near Junnar providing communication links.","A moderate climb through dry terrain to a compact summit with wall fragments. Views of the Junnar plateau and surrounding forts are visible."
"Hadsar","Pune","Hard",1120,"Oct-Feb","Also known as Paranda gad; a Maratha fort near Junnar with ancient Buddhist connections.","A strenuous trek with rock climbing near the summit and cave passages to explore. The summit plateau has water tanks and offers excellent 360-degree views."
"Hargad","Nashik","Moderate",800,"Oct-Feb","A small Maratha fort in the Baglan region used for controlling trade routes to Gujarat.","A moderate climb through scrub forest to a rocky summit with partial wall remnants. Views of the northern Sahyadri ranges."
"Harihar fort","Nashik","Hard",1120,"Oct-Feb","Built during the Seuna Yadava dynasty in the 14th century to guard the Konkan-Deccan pass.","Famous for its dramatic near-vertical rock-cut staircase with carved hand and foot holds. The exposed climb is not for the faint-hearted but the summit views are unforgettable."
"Harishchandragad","Ahmednagar","Hard",1422,"Oct-Feb","An ancient fort dating back to the 6th century with Kedareshwar cave containing a Shiva linga surrounded by water.","The iconic Konkan Kada cliff offers a jaw-dropping vertical overhang with clouds below. The trek through Nalichi Vaat involves thrilling rock scrambles through dense forest."
"Hatgad","Nashik","Moderate",900,"Oct-Feb","A Maratha-era fort near Saputara controlling the northern border with Gujarat.","A moderate trek through pleasant forest to a summit with well-preserved walls and gates. Views of the Gujarat border region add geographic interest."
"Indori fort","Pune","Moderate",800,"Oct-Feb","A small Maratha fort near Maval that supported Lohagad and Visapur defense.","A moderate climb through farmland to a hilltop with remnants of fortification walls. Good views of the Pawna Dam backwaters."
"Indrai fort","Nashik","Hard",1100,"Oct-Feb","A remote Maratha fort in the Trimbak range used as a frontier outpost.","A tough climb with steep rocky terrain and minimal shade along the route. The isolated summit has cisterns and commanding views."
"Irshalgad Fort","Raigad","Hard",1100,"Oct-Feb","A towering pinnacle fort near Panvel often trekked as a companion to Matheran.","A steep trek with a dramatic pinnacle summit that narrows to a knife-edge top. The vertigo-inducing views of the Konkan plains below are breathtaking."
"Jadhavgadh","Pune","Easy",800,"Year-round","A 16th-century Maratha fort of the Jadhav family; now converted into a heritage hotel.","A well-maintained heritage fort hotel with preserved architecture and Maratha artwork. Easy access by road makes it a unique cultural experience."
"Jaigad Fort","Ratnagiri","Easy",100,"Oct-Mar","A Maratha coastal fort at the mouth of the Shastri River commanding sea approaches.","A well-preserved coastal fort with massive walls and a lighthouse offering ocean panoramas. Easy to explore with cannons and bastions still standing proud."
"Jamgaon Fort","Raigad","Moderate",600,"Oct-Feb","A minor Maratha fort near Karjat serving as a link fort in the Bor Ghat defense chain.","A moderate forest hike to a compact hilltop with partial fort ruins. A quiet trek with good monsoon scenery."
"Jamner Fort","Jalgaon","Easy",350,"Oct-Mar","A Faruqi dynasty fort later held by the Mughals and the Marathas in the Khandesh region.","A land fort with thick walls and old gateways situated in the Jamner town. Easy and flat exploration with some well-preserved bastions."
"Jangali Jayagad","Sindhudurg","Moderate",600,"Oct-Feb","A Maratha jungle fort in southern Konkan built for guerrilla warfare defense.","A moderate trek through dense jungle terrain to a hidden fortified summit. The wild approach adds genuine Sahyadri adventure."
"Janjira fort","Raigad","Easy",0,"Year-round","The only fort on India's west coast that was never conquered; stronghold of the Siddhi rulers.","A magnificent sea fort accessible by boat from Murud with imposing 40-foot walls rising from the sea. The inland freshwater lake and massive bastions are engineering marvels."
"Javlya fort","Satara","Moderate",850,"Oct-Feb","A small Maratha fort near Wai used for reconnaissance and regional defense.","A moderate hike through green rolling hills to a compact summit with ruins. Pleasant views of the Krishna Valley below."
"Jivdhan","Pune","Hard",1410,"Oct-Feb","An impregnable Maratha fort guarding the Naneghat trade pass between Konkan and the Deccan.","A tough climb with exposed rock patches and ladder sections near the summit. The panoramic views of the Malshej ranges and the ancient Naneghat pass are magnificent."
"Kaladgad","Sindhudurg","Moderate",700,"Oct-Feb","A Maratha fort in southern Konkan controlling routes near the Goa border.","A moderate trek through wooded laterite terrain to a summit with partial fort ruins. Coastal views from the south-facing walls."
"Kalanandigad","Satara","Moderate",950,"Oct-Feb","A Maratha fort near Mahabaleshwar protecting the Krishna River valley routes.","A pleasant trek through grassland to a fortified hilltop with cisterns and wall remnants. Stunning views of the surrounding Mahabaleshwar plateau."
"Kalavantin Durg","Raigad","Very Hard",1100,"Oct-Feb","An ancient pinnacle fortress believed to have been built for a queen named Kalavantin.","One of the most visually dramatic treks in India with near-vertical carved steps on an exposed rock face. The knife-edge summit offers a dizzying 360-degree panorama of the Matheran range."
"Kaldurg Fort","Osmanabad","Easy",650,"Oct-Mar","A Bahmani sultanate fort later controlled by the Marathas in the Marathwada region.","A low plateau fort with thick walls and carved gateways set amidst dry Marathwada landscape. Easy to explore with interesting medieval stonework."
"Kalyangad/Nandgiri","Satara","Moderate",1050,"Oct-Feb","Strategically important for the Marathas; named after an old temple atop the fort.","A pleasant climb through terraced farmland to a broad fortified plateau. The summit temples and cisterns are well-maintained by locals."
"Kamalgad","Pune","Moderate",900,"Oct-Feb","A Maratha fort near Maval that played a role in controlling the Konkan-Deccan passes.","A moderate climb through deciduous forest to a compact summit with ruins and cisterns. Views toward Rajmachi and Lohagad from the top."
"Kamandurg Fort","Satara","Easy",750,"Oct-Feb","A minor Maratha fort used to guard the approach routes south of Satara.","A short easy climb to a hilltop with sparse ruins and pleasant valley views. A quiet fort rarely visited by trekkers."
"Kandhar Fort","Nanded","Easy",650,"Oct-Mar","An important Deccan sultanate fortress later captured by the Marathas under Shahu Maharaj.","A large well-preserved fort with double walls and massive gateways dominating the skyline. Easy to explore with historical architecture reflecting Bahmani and Maratha periods."
"Kanchana Fort","Sindhudurg","Moderate",600,"Oct-Feb","A Maratha defense fort in southern Konkan protecting trading routes near Sawantwadi.","A moderate trek through tropical forests and laterite terrain to a small fortified summit. Views of the Konkan coast from the south-facing walls."
"Kanhera Fort","Jalgaon","Easy",400,"Oct-Mar","A Khandesh region fort held by the Faruqi dynasty and later taken by the Marathas.","A low-elevation land fort with old gateways and walls amid the Jalgaon agricultural belt. Easy to walk and relatively unexplored."
"Kankrala","Raigad","Moderate",700,"Oct-Feb","A Maratha hill fort near Karjat used for monitoring the Bor Ghat region.","A moderate trek through mixed forest to a small summit with fort remnants. Monsoon views of the green Western Ghats are particularly stunning."
"Karnala Fort","Raigad","Easy",480,"Year-round","A Maratha fort within the Karnala Bird Sanctuary; a popular weekend trek from Mumbai.","An easy trail through lush bird sanctuary forest leading to a rocky pinnacle summit. The basalt pillar at the top is iconic and great for beginner trekkers."
"Kavnai fort","Nashik","Moderate",750,"Oct-Feb","A Maratha fort near Dindori used for defense of the Godavari plain.","A moderate climb through grassy slopes to a fort with old walls and a temple. Scenic views of the Nashik wine country below."
"Kelve Fort","Palghar","Easy",30,"Oct-Mar","A Maratha-era coastal fort ruins near the popular Kelve beach.","A small fort ruin right on the coast accessible via an easy beach walk. Perfect for a casual heritage outing combined with a beach day."
"Kenjalgad","Satara","Moderate",950,"Oct-Feb","A well-preserved Maratha fort near Wai with strong fortification walls.","A moderate trek through farmland and forest to a broad fortified plateau. The double-door gateways and bastions are impressively intact."
"Khanderi","Raigad","Easy",0,"Oct-Mar","A sea fort built by Shivaji Maharaj to counter the Siddis and protect Maratha trade routes.","A small island fort accessible by boat from Mandwa with remains of walls and a lighthouse. The historical significance of Shivaji's naval ambitions fills every stone."
"Kharda/Shivpattan Fort","Beed","Easy",550,"Oct-Mar","Site of the Battle of Kharda (1795) — the last great Maratha victory under the Nizam.","A land fort with thick walls set on the dry Marathwada plateau. Easy to explore with scattered ruins and historical battle significance."
"Kohoj Fort","Palghar","Moderate",500,"Oct-Feb","A Maratha-era hill fort guarding the northern Konkan routes between Palghar and Nashik.","A moderate climb through scrub forest to a flat summit with cisterns and wall fragments. The views of the Palghar hinterland are expansive."
"Kolaba Fort","Raigad","Easy",0,"Year-round","A sea fort near Alibag built by Shivaji Maharaj in 1680 as part of his naval defense strategy.","Accessible on foot during low tide from Alibag beach with imposing walls rising from the sea. The sweet water well inside a sea fort is an engineering marvel."
"Koldher Fort","Nashik","Easy",600,"Oct-Feb","A Maratha hill fort in the Baglan area used for controlling trade route traffic.","An easy climb through rolling farmland to a low summit with partial wall remains. A quick trek ideal for beginners exploring lesser-known forts."
"Konkan Diva Fort","Raigad","Easy",40,"Oct-Mar","A small sea island fortress built to guard the approach to the Rajpuri creek.","A tiny island fort accessible by boat with surviving walls and bastions. The ride across the creek adds maritime charm."
"Korigad","Pune","Easy",930,"Year-round","Captured by Shivaji Maharaj in 1657 from the Adilshahi Sultanate; used for storing treasury.","An easy trek near Lonavala with well-preserved fortifications and the Korai Devi temple at the summit. The monsoon views of Amby Valley and surrounding hills are spectacular."
"Korlai Fort","Raigad","Easy",100,"Oct-Mar","A Portuguese-built fort near Chaul with a lighthouse; one of the best-preserved coastal forts.","A seaside fort with impressive Portuguese bastions and a working lighthouse at the top. Easy to explore with ocean views stretching to the horizon."
"Kothaligad/Bhairavgad","Raigad","Moderate",930,"Oct-Feb","A Maratha pinnacle fort near Karjat with a cave temple dedicated to Lord Bhairav.","A moderate trek with an exciting chimney climb through rock to reach the pinnacle summit temple. The compact mesa top offers breathtaking views of the surrounding hills."
"Kulang Fort","Nashik","Very Hard",1460,"Oct-Feb","Part of the Alang-Madan-Kulang trio; one of the hardest fort treks in Maharashtra.","An extreme rock-climbing adventure requiring ropes and harnesses for the near-vertical ascent. The isolated pinnacle summit rewards the brave with views of the entire AMK range."
"Kunjargad","Sindhudurg","Easy",100,"Oct-Mar","A small Maratha coastal fort near Devgad built to guard the southern Konkan coast.","A short easy walk to a headland fort with sweeping views of the Arabian Sea. Ideal for a quick heritage stop while driving through the Sindhudurg coast."
"Kurdugad","Kolhapur","Moderate",800,"Oct-Feb","A Maratha fort in the Kolhapur hills used for protecting the southern Swarajya border.","A moderate hike through green rolling hills to a summit with cisterns and old walls. The pastoral setting feels tranquil and untouched."
"Laling fort","Dhule","Easy",650,"Oct-Mar","A large Faruqi dynasty fort in Khandesh later taken by the Mughal and Maratha forces.","A large land fort with impressive triple gateways and sprawling walls. Easy to explore and one of the most well-preserved forts in north Maharashtra."
"Lingana","Raigad","Very Hard",1050,"Oct-Feb","A dramatic pinnacle fort near Raigad used as a lookout by the Marathas.","One of the most thrilling technical climbs in the Sahyadri with near-vertical rock faces. The tiny summit has room for just a few people with dizzying drops all around."
